Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90
Eric García,es ESP,"DF,MF",25,19,17,1468,16.3,1,0,1,1,0,0,1,0,2.4,2.4,1.3,3.7,16,111,30,0.06,0,0.06,0.06,0.06,0.15,0.08,0.23,0.15,0.23
Pau Cubarsí,es ESP,DF,18,15,15,1297,14.4,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,17,77,1,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05
Jules Koundé,fr FRA,DF,27,18,14,1331,14.8,1,1,2,1,0,0,3,0,0.7,0.7,1.1,1.8,23,70,65,0.07,0.07,0.14,0.07,0.14,0.04,0.07,0.12,0.04,0.12
Lamine Yamal,es ESP,FW,18,15,14,1259,14.0,7,7,14,5,2,2,0,0,5.1,3.5,5.4,8.9,107,78,153,0.5,0.5,1.0,0.36,0.86,0.36,0.39,0.75,0.25,0.64
Ferrán Torres,es ESP,FW,25,18,14,1144,12.7,11,1,12,11,0,0,2,0,8.7,8.7,1.4,10.1,8,17,74,0.87,0.08,0.94,0.87,0.94,0.68,0.11,0.79,0.68,0.79
Alejandro Balde,es ESP,DF,22,15,14,1123,12.5,0,2,2,0,0,0,2,0,0.2,0.2,1.2,1.5,33,62,92,0,0.16,0.16,0,0.16,0.02,0.1,0.12,0.02,0.12
Joan García,es ESP,GK,24,13,13,1170,13.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedri,es ESP,MF,23,15,13,1124,12.5,2,5,7,2,0,0,2,1,1.2,1.2,3.2,4.4,54,140,56,0.16,0.4,0.56,0.16,0.56,0.1,0.26,0.35,0.1,0.35
Marcus Rashford,eng ENG,FW,28,18,12,1110,12.3,2,6,8,2,0,0,2,0,4.0,4.0,3.2,7.2,52,38,161,0.16,0.49,0.65,0.16,0.65,0.32,0.26,0.59,0.32,0.59
Gerard Martín,es ESP,DF,24,17,12,975,10.8,0,0,0,0,0,0,3,0,0,0,0.5,0.5,15,75,38,0,0,0,0,0,0,0.05,0.05,0,0.05
Frenkie de Jong,nl NED,MF,28,14,11,1045,11.6,0,3,3,0,0,0,3,1,0.5,0.5,2.0,2.6,35,115,21,0,0.26,0.26,0,0.26,0.05,0.17,0.22,0.05,0.22
Raphinha,br BRA,"FW,MF",29,12,10,763,8.5,7,3,10,6,1,1,2,0,5.5,4.7,2.6,7.3,34,31,93,0.83,0.35,1.18,0.71,1.06,0.65,0.30,0.96,0.56,0.86
Dani Olmo,es ESP,MF,27,14,8,861,9.6,5,2,7,5,0,0,0,0,3.4,3.4,2.3,5.8,19,55,61,0.52,0.21,0.73,0.52,0.73,0.36,0.24,0.6,0.36,0.6
Robert Lewandowski,pl POL,FW,37,14,7,698,7.8,9,1,10,8,1,3,1,0,7.8,5.5,0.9,6.3,6,9,44,1.16,0.13,1.29,1.03,1.16,1.01,0.11,1.12,0.7,0.82
Fermin López,es ESP,"MF,FW",22,13,7,694,7.7,4,4,8,4,0,0,1,0,2.4,2.4,3.2,5.7,21,34,55,0.52,0.52,1.04,0.52,1.04,0.32,0.42,0.74,0.32,0.74
Ronald Araújo,uy URU,DF,26,11,7,649,7.2,2,0,2,2,0,0,2,0,0.4,0.4,0,0.4,11,29,4,0.28,0,0.28,0.28,0.28,0.05,0,0.06,0.05,0.06
Marc Casado,es ESP,MF,22,13,6,549,6.1,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,7,27,9,0,0.16,0.16,0,0.16,0.05,0.03,0.08,0.05,0.08
Wojciech Szczęsny,pl POL,GK,35,6,6,540,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Christensen,dk DEN,DF,29,12,3,380,4.2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,16,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Roony Bardghji,se SWE,FW,20,9,3,247,2.7,1,1,2,1,0,0,0,0,1.0,1.0,1.0,2.0,13,13,37,0.36,0.36,0.73,0.36,0.73,0.37,0.35,0.71,0.37,0.71
Marc Bernal,es ESP,MF,18,7,1,127,1.4,0,1,1,0,0,0,1,0,0,0,0.6,0.6,1,7,3,0,0.71,0.71,0,0.71,0.01,0.41,0.43,0.01,0.43
